minutes,n,mean_points,median_points,q10,q90,net_total,mean_net
1,3571,0.2660319238308597,0.25,-4.75,5.75,-34565.0,-9.679361523382806
2,3571,0.2476197143657239,0.25,-7.0,8.5,-35880.0,-10.047605712685522
3,3571,0.2322878745449454,0.25,-9.5,10.25,-36975.0,-10.354242509101093
4,3571,0.18538224586950433,0.25,-11.25,12.25,-40325.0,-11.292355082609912
5,3571,0.297465695883506,0.0,-12.5,14.0,-32320.0,-9.050686082329879
6,3571,0.43174180901708203,0.25,-13.5,15.25,-22730.0,-6.365163819658359
7,3571,0.42642117054046486,0.25,-14.75,15.75,-23110.0,-6.471576589190703
8,3571,0.406818818258191,0.25,-15.5,16.5,-24510.0,-6.8636236348361805
9,3571,0.12881545785494258,0.0,-17.25,17.5,-44365.0,-12.423690842901149
10,3571,0.04963595631475777,0.25,-18.75,18.25,-50020.0,-14.007280873704845
11,3571,0.23676841220946512,0.0,-19.25,19.25,-36655.0,-10.264631755810697
12,3571,0.21044525343041165,0.25,-19.5,20.0,-38535.0,-10.791094931391767
13,3571,0.37503500420050406,0.0,-20.0,21.5,-26780.0,-7.499299915989919
14,3571,0.4730467656118734,0.25,-20.5,22.5,-19780.0,-5.539064687762531
15,3571,0.5494959395127416,0.25,-21.75,23.25,-14320.0,-4.010081209745169
16,3571,0.7488798655838701,0.25,-21.75,25.25,-80.0,-0.022402688322598712
17,3571,0.6750210025203024,0.25,-22.5,25.0,-5355.0,-1.4995799495939512
18,3571,0.8242789134696163,0.25,-23.75,26.25,5305.0,1.4855782693923272
19,3571,0.7807336880425652,0.25,-23.75,26.75,2195.0,0.6146737608513022
20,3571,0.8345001400168021,0.0,-24.5,28.0,6035.0,1.6900028003360403
21,3571,0.8515821898627836,0.0,-25.25,28.0,7255.0,2.0316437972556707
22,3571,0.8632735928311397,0.0,-26.0,28.75,8090.0,2.2654718566227947
23,3571,0.8604732567908149,0.0,-27.0,29.5,7890.0,2.209465135816298
24,3571,0.7722626715205825,0.0,-27.5,29.5,1590.0,0.4452534304116494
25,3571,0.8592831139736768,0.0,-27.5,30.25,7805.0,2.185662279473537
