id,instrument,k,wait,horizon,stop,signals,no_entry,conflicts,unknown_outcomes,excluded_days,days,trades,total,mean_day,mean_trade,win_rate,max_drawdown,median_minutes
ES_k2_w10_h15_far,ES,2,10,15,far,3667,2080,0,1,113,5002,1564,-53420.0,-10.679728108756498,-34.15601023017903,0.15281329923273657,54665.0,2.0
ES_k2_w10_h15_time,ES,2,10,15,time,3667,195,0,2,113,5002,3423,-79677.5,-15.929128348660536,-23.277096114519427,0.4163014899211218,82130.0,15.0
ES_k2_w10_h30_far,ES,2,10,30,far,3667,2080,0,1,113,5002,1564,-50045.0,-10.00499800079968,-31.998081841432224,0.14194373401534527,50447.5,2.0
ES_k2_w10_h30_time,ES,2,10,30,time,3667,195,0,4,113,5002,3423,-98565.0,-19.705117952818874,-28.794916739702014,0.44639205375401697,107352.5,30.0
ES_k2_w10_h60_far,ES,2,10,60,far,3667,2080,0,1,113,5002,1564,-56395.0,-11.274490203918432,-36.058184143222505,0.11956521739130435,57715.0,2.0
ES_k2_w10_h60_time,ES,2,10,60,time,3667,195,0,7,113,5002,3423,-95315.0,-19.055377848860456,-27.845457201285424,0.45807770961145194,104812.5,60.0
ES_k2_w10_h120_far,ES,2,10,120,far,3667,2080,0,1,113,5002,1564,-52932.5,-10.582267093162734,-33.844309462915604,0.09846547314578005,56927.5,2.0
ES_k2_w10_h120_time,ES,2,10,120,time,3667,195,0,14,113,5002,3423,-63790.0,-12.752898840463814,-18.635699678644464,0.47356120362255333,95162.5,120.0
ES_k2_w30_h15_far,ES,2,30,15,far,3956,2260,0,2,113,5002,1671,-54230.0,-10.841663334666134,-32.45362058647517,0.15200478755236385,56047.5,2.0
ES_k2_w30_h15_time,ES,2,30,15,time,3956,251,0,3,113,5002,3653,-81477.5,-16.288984406237503,-22.30427046263345,0.4226663016698604,88692.5,15.0
ES_k2_w30_h30_far,ES,2,30,30,far,3956,2260,0,2,113,5002,1671,-49105.0,-9.817073170731707,-29.386594853381208,0.14183123877917414,52047.5,2.0
ES_k2_w30_h30_time,ES,2,30,30,time,3956,251,0,5,113,5002,3653,-83177.5,-16.628848460615753,-22.769641390637833,0.45086230495483165,110875.0,30.0
