day,net
2020-01-02 00:00:00-05:00,-639.0500000000247
2020-01-03 00:00:00-05:00,-59.85000000000582
2020-01-06 00:00:00-05:00,1675.0
2020-01-07 00:00:00-05:00,-735.1000000000204
2020-01-08 00:00:00-05:00,600.0
2020-01-09 00:00:00-05:00,-20.0
2020-01-10 00:00:00-05:00,980.0
2020-01-13 00:00:00-05:00,325.92499999998836
2020-01-14 00:00:00-05:00,-113.19999999999709
2020-01-15 00:00:00-05:00,-176.45000000000437
2020-01-16 00:00:00-05:00,-155.80000000001746
2020-01-17 00:00:00-05:00,590.0
2020-01-20 00:00:00-05:00,55.0
2020-01-21 00:00:00-05:00,52.72499999999127
2020-01-22 00:00:00-05:00,-685.9749999999985
2020-01-23 00:00:00-05:00,-156.1999999999898
2020-01-24 00:00:00-05:00,1395.0
2020-01-27 00:00:00-05:00,-575.5749999999898
2020-01-28 00:00:00-05:00,834.3249999999898
2020-01-29 00:00:00-05:00,161.8000000000029
2020-01-30 00:00:00-05:00,1020.0
2020-01-31 00:00:00-05:00,3000.0
2020-02-03 00:00:00-05:00,1675.0
2020-02-04 00:00:00-05:00,-415.99999999998545
2020-02-05 00:00:00-05:00,1820.0
2020-02-06 00:00:00-05:00,-1133.199999999997
2020-02-07 00:00:00-05:00,1550.0
2020-02-10 00:00:00-05:00,1910.0
2020-02-11 00:00:00-05:00,467.599999999984
2020-02-12 00:00:00-05:00,-510.20000000000437
2020-02-13 00:00:00-05:00,605.2000000000044
2020-02-14 00:00:00-05:00,-1021.5999999999985
2020-02-17 00:00:00-05:00,130.0
2020-02-18 00:00:00-05:00,-339.8500000000058
2020-02-19 00:00:00-05:00,425.92499999998836
2020-02-20 00:00:00-05:00,-1337.5499999999738
2020-02-21 00:00:00-05:00,-289.3999999999869
2020-02-24 00:00:00-05:00,190.0
2020-02-25 00:00:00-05:00,5180.0
2020-02-26 00:00:00-05:00,172.35000000000582
2020-02-27 00:00:00-05:00,1780.0
2020-02-28 00:00:00-05:00,2085.0
2020-03-02 00:00:00-05:00,140.0749999999971
2020-03-03 00:00:00-05:00,3635.0
2020-03-04 00:00:00-05:00,575.0
2020-03-05 00:00:00-05:00,553.3750000000146
2020-03-06 00:00:00-05:00,530.0
2020-03-09 00:00:00-04:00,-395.0
2020-03-10 00:00:00-04:00,1988.199999999997
2020-03-11 00:00:00-04:00,-1440.0
2020-03-12 00:00:00-04:00,2095.0
2020-03-13 00:00:00-04:00,-35.0
2020-03-16 00:00:00-04:00,2870.0
2020-03-17 00:00:00-04:00,-1395.4000000000087
2020-03-19 00:00:00-04:00,-3086.399999999994
2020-03-20 00:00:00-04:00,1250.0
2020-03-23 00:00:00-04:00,3990.0
2020-03-24 00:00:00-04:00,-3070.725000000002
2020-03-25 00:00:00-04:00,-1195.0
2020-03-26 00:00:00-04:00,1543.4749999999985
2020-03-27 00:00:00-04:00,115.0
2020-03-30 00:00:00-04:00,1895.0
2020-03-31 00:00:00-04:00,833.3250000000044
2020-04-01 00:00:00-04:00,2255.0
2020-04-02 00:00:00-04:00,1690.0
2020-04-03 00:00:00-04:00,-2619.5000000000073
2020-04-06 00:00:00-04:00,-262.9999999999927
2020-04-07 00:00:00-04:00,3985.0
2020-04-08 00:00:00-04:00,-1803.6249999999927
2020-04-09 00:00:00-04:00,2220.0
2020-04-13 00:00:00-04:00,1305.0
2020-04-14 00:00:00-04:00,2460.0
2020-04-15 00:00:00-04:00,-730.4249999999956
2020-04-16 00:00:00-04:00,-947.2000000000116
2020-04-17 00:00:00-04:00,1255.0
2020-04-20 00:00:00-04:00,288.6999999999898
2020-04-21 00:00:00-04:00,-2745.550000000003
2020-04-22 00:00:00-04:00,-275.0
2020-04-23 00:00:00-04:00,1680.0
2020-04-24 00:00:00-04:00,1955.0
2020-04-27 00:00:00-04:00,-655.0
2020-04-28 00:00:00-04:00,2790.0
2020-04-29 00:00:00-04:00,-2273.5499999999956
2020-04-30 00:00:00-04:00,-744.5500000000175
2020-05-01 00:00:00-04:00,-1975.3749999999854
2020-05-04 00:00:00-04:00,154.79999999999563
2020-05-05 00:00:00-04:00,266.8999999999869
2020-05-06 00:00:00-04:00,-1870.2249999999913
2020-05-07 00:00:00-04:00,-449.79999999999563
2020-05-08 00:00:00-04:00,-1295.0
2020-05-11 00:00:00-04:00,1406.0749999999825
2020-05-12 00:00:00-04:00,566.8000000000029
2020-05-13 00:00:00-04:00,-885.0
2020-05-14 00:00:00-04:00,-2798.5250000000087
2020-05-15 00:00:00-04:00,-1050.3250000000116
2020-05-18 00:00:00-04:00,-1952.1000000000276
2020-05-19 00:00:00-04:00,753.5499999999956
2020-05-20 00:00:00-04:00,1815.0
2020-05-21 00:00:00-04:00,1875.0
2020-05-22 00:00:00-04:00,50.0
2020-05-25 00:00:00-04:00,270.0
2020-05-26 00:00:00-04:00,1147.7750000000015
2020-05-27 00:00:00-04:00,1432.1500000000015
2020-05-28 00:00:00-04:00,731.9499999999971
2020-05-29 00:00:00-04:00,-1851.150000000016
2020-06-01 00:00:00-04:00,-136.45000000000437
2020-06-02 00:00:00-04:00,960.0
2020-06-03 00:00:00-04:00,270.0
2020-06-04 00:00:00-04:00,-1452.7250000000276
2020-06-05 00:00:00-04:00,-2601.5999999999985
2020-06-08 00:00:00-04:00,95.0
2020-06-09 00:00:00-04:00,1386.0749999999825
2020-06-10 00:00:00-04:00,-367.17499999998836
2020-06-11 00:00:00-04:00,1357.400000000016
2020-06-12 00:00:00-04:00,-2156.19999999999
2020-06-15 00:00:00-04:00,-784.5999999999913
2020-06-16 00:00:00-04:00,765.0
2020-06-17 00:00:00-04:00,-694.7499999999854
2020-06-18 00:00:00-04:00,-119.74999999998545
