ins,эпоха,валовое $,после F $,интервалов F,после S $,интервалов S,до 11:30 $,12:00-13:30 $,14:00+ $
ES,2006-2012,52150,6387,1545,45762,4296,7900,2887,41362
ES,2013-2019,38025,-5387,1552,43412,4232,10850,3312,23862
ES,2020-2026,119187,61350,1310,57837,3925,56700,10450,52037
