ins,epoch,cond,hour,n,bp,m,t,usd,years_pos
NQ,2006-2012,A,0,1418,0.5920944990215865,0.04217391633354104,1.5881153649569295,1.9358251057827927,6/7
NQ,2006-2012,A,1,1541,0.3192738097547356,0.021395233688889015,0.839882154776458,1.537962362102531,5/7
NQ,2006-2012,A,2,1678,1.7847984476102392,0.08941432337692078,3.6627145419033678,5.601907032181168,6/7
NQ,2006-2012,A,3,1713,1.2276797677897722,0.04471868265805679,1.8508349119424772,5.061295971978984,5/7
NQ,2006-2012,A,4,1723,-0.40395492333376515,-0.017429254292537926,-0.7234715292595686,-1.5235055136390017,2/7
NQ,2006-2012,A,5,1722,-0.9089504141219649,-0.042462434368169946,-1.762063122738599,-2.9123112659698025,1/7
NQ,2006-2012,A,6,1728,-0.30161046340736447,-0.013388227633954749,-0.5565381716473747,-1.4930555555555556,4/7
NQ,2006-2012,A,7,1728,0.06253717226884847,0.0025306968621673373,0.10519909305189505,0.6568287037037037,3/7
NQ,2006-2012,A,8,1731,0.5193266336006584,0.014782496267280626,0.6150300164132956,0.9676487579433853,6/7
NQ,2006-2012,A,9,1734,1.3640545224870075,0.025145665741507374,1.0470988552577034,4.4521337946943484,5/7
NQ,2006-2012,A,10,1741,-0.232279414592212,-0.00422770267622402,-0.1764021290353339,-0.8357265939115451,4/7
NQ,2006-2012,A,11,1703,-1.20768513564699,-0.028389484603931155,-1.171560800743549,-5.1233118027011155,2/7
NQ,2006-2012,A,12,1704,-0.6885585405680621,-0.018766921337314533,-0.7746897839545461,-2.268192488262911,3/7
NQ,2006-2012,A,13,1688,-0.17090181481534025,-0.004098281558763898,-0.16837903375574514,-2.156398104265403,4/7
NQ,2006-2012,A,14,1683,-1.1752457571043837,-0.02568155937383988,-1.0535701276235399,-2.3618538324420677,3/7
NQ,2006-2012,A,15,1677,6.623737085798386,0.1029012962927765,4.213930582951806,19.472271914132378,5/7
NQ,2006-2012,A,16,1350,-1.9791826617380186,-0.06154550914087239,-2.261326400324029,-5.866666666666666,2/7
NQ,2006-2012,A,19,1559,0.49368123741108294,0.033354512233546796,1.316975366208748,1.5843489416292496,6/7
NQ,2006-2012,A,20,1541,1.5733219454788303,0.09204258671276036,3.613184468261181,5.064892926670993,6/7
NQ,2006-2012,A,21,1524,0.04888891323302632,0.0032509768280892444,0.1269130722709145,0.3838582677165354,3/7
NQ,2006-2012,A,22,1498,-0.6356075167222455,-0.04149087824146005,-1.6058631572824003,-2.553404539385848,2/7
NQ,2006-2012,A,23,1470,-0.1680693070914201,-0.01291859693658482,-0.4953064867439249,-0.7551020408163265,3/7
NQ,2006-2012,B,0,1427,0.3135175806427516,0.02239848042068473,0.8461172360833471,0.5150665732305536,5/7
NQ,2006-2012,B,1,1551,0.32416123277305975,0.021820210686761873,0.8593396260717668,0.9896840747904577,5/7
NQ,2006-2012,B,2,1687,1.0313700303571813,0.051575756007621924,2.1183764706225667,3.189093064611737,7/7
NQ,2006-2012,B,3,1723,0.5137846816503171,0.01862301472558484,0.7730233730487647,1.828206616366802,4/7
NQ,2006-2012,B,4,1733,-1.7251985327526917,-0.07425523935697909,-3.0911948678804757,-5.551067512983266,1/7
NQ,2006-2012,B,5,1732,-1.2112240285047355,-0.0566244531037063,-2.3565570839376924,-4.061778290993072,2/7
NQ,2006-2012,B,6,1738,-0.5813724092469719,-0.025715570926204502,-1.0720648497406382,-2.3388952819332567,2/7
NQ,2006-2012,B,7,1737,-0.2997536118967554,-0.012029243938755745,-0.5013467929637783,-0.7052389176741508,3/7
NQ,2006-2012,B,8,1740,2.165914254539469,0.0618401853357274,2.579558650021623,8.841954022988507,6/7
NQ,2006-2012,B,9,1742,1.9322867378518662,0.03560058797046116,1.4858714772192485,6.446613088404133,4/7
NQ,2006-2012,B,10,1749,-0.030196697643781863,-0.000553088482379339,-0.023130739600731535,1.6952544311034876,4/7
NQ,2006-2012,B,11,1711,1.2188316436104465,0.02850845399824684,1.1792304123335429,4.009351256575102,5/7
NQ,2006-2012,B,12,1711,-0.11283450388111783,-0.0030708252691580137,-0.12702234041088856,0.2104032729398013,4/7
NQ,2006-2012,B,13,1695,-1.6719626296748953,-0.04012515332935273,-1.6519677178590362,-5.106194690265487,3/7
NQ,2006-2012,B,14,1690,-0.9427989688329314,-0.020538897462170323,-0.844346055918433,-2.801775147928994,2/7
NQ,2006-2012,B,15,1683,4.058675970056884,0.06274238680316799,2.5739677061414934,11.928104575163399,5/7
NQ,2006-2012,B,16,1355,1.0380191170374056,0.03228385487265599,1.1883791784483004,3.3431734317343174,5/7
NQ,2006-2012,B,19,1570,-0.017190875146824564,-0.0011571481802665191,-0.045849943297868574,0.2929936305732484,4/7
NQ,2006-2012,B,20,1552,0.9852599005533741,0.056235587033650544,2.215425200379812,2.6804123711340204,5/7
NQ,2006-2012,B,21,1534,0.4294833625577354,0.02845895137454684,1.1146321702973374,1.6753585397653195,4/7
NQ,2006-2012,B,22,1507,-0.0883987237360216,-0.005753403704586494,-0.22334769499871726,-0.07631055076310551,3/7
NQ,2006-2012,B,23,1479,0.08298412071983402,0.006354795017079732,0.24439123910189775,0.68289384719405,4/7
NQ,2013-2019,A,0,1755,0.3765537671737285,0.03855137252449789,1.6150218598465416,3.831908831908832,5/7
NQ,2013-2019,A,1,1765,-0.18278562624276182,-0.01870846063871835,-0.7859780350400297,-2.9858356940509916,4/7
NQ,2013-2019,A,2,1766,0.6372150756781553,0.048482610562675214,2.0374236644921444,6.350509626274066,6/7
NQ,2013-2019,A,3,1772,-0.8321754835696367,-0.04352402903668454,-1.832149676078533,-8.132054176072234,0/7
NQ,2013-2019,A,4,1771,0.10164140275050222,0.006281551236960158,0.26434809627509354,0.42631281761716544,4/7
NQ,2013-2019,A,5,1771,0.07364097772159434,0.005165130588497915,0.217365486099646,1.6826651609260306,3/7
NQ,2013-2019,A,6,1772,-0.4139000450236997,-0.03206906710149971,-1.3499515601515448,-6.1258465011286685,2/7
NQ,2013-2019,A,7,1775,-0.07391900812679446,-0.00469408403647009,-0.19776527569586608,-1.4619718309859155,3/7
NQ,2013-2019,A,8,1775,0.598291171312351,0.032337956652289106,1.3624223305533638,3.907042253521127,5/7
NQ,2013-2019,A,9,1773,-0.5741696130152989,-0.016170116671645637,-0.680875208491705,-7.518330513254371,2/7
NQ,2013-2019,A,10,1773,1.1602250827837552,0.0323460646962779,1.3619959578017715,10.310208685843204,4/7
NQ,2013-2019,A,11,1765,-1.008981476941742,-0.034902368171115264,-1.4663149086998404,-11.580736543909348,1/7
NQ,2013-2019,A,12,1765,-0.34873315730964954,-0.014366428260202737,-0.6035609916044516,-6.169971671388102,3/7
NQ,2013-2019,A,13,1714,-0.2796775131435713,-0.011504248078990458,-0.47628142804554746,-4.130688448074679,2/7
NQ,2013-2019,A,14,1712,-0.5269757390173734,-0.018037073845841377,-0.7463077705341233,-7.140771028037383,3/7
NQ,2013-2019,A,15,1712,-0.4168651019960608,-0.013247176192626029,-0.5481194241753836,-4.123831775700935,3/7
NQ,2013-2019,A,16,1716,-0.7803909326748332,-0.03906642206095727,-1.6183120931447559,-9.105477855477856,1/7
NQ,2013-2019,A,19,1766,-0.1426853907706045,-0.01318221471919408,-0.553966791548543,-1.9450736126840318,3/7
NQ,2013-2019,A,20,1755,-0.31761527931618233,-0.021454141367789028,-0.8987723399782779,-5.39031339031339,2/7
NQ,2013-2019,A,21,1753,0.2736985610195572,0.019101264101992286,0.7997478245581451,3.208784940102681,6/7
NQ,2013-2019,A,22,1754,-0.043908155076855256,-0.003310850373939678,-0.13866100666147405,0.48745724059293044,3/7
NQ,2013-2019,A,23,1757,-0.041786093385733525,-0.0042034551887862835,-0.17619448179754102,-1.499715424018213,3/7
NQ,2013-2019,B,0,1765,0.06623078245235134,0.0067962963025825765,0.2855253415344394,1.2407932011331444,4/7
NQ,2013-2019,B,1,1775,-0.24000703879471755,-0.024603143241261626,-1.0365488492089105,-1.9549295774647888,2/7
NQ,2013-2019,B,2,1776,0.29413977253001417,0.02235967883642072,0.9422953369820716,3.918918918918919,5/7
NQ,2013-2019,B,3,1782,-1.0975264911883638,-0.05723466179796438,-2.416089237348025,-12.34287317620651,2/7
NQ,2013-2019,B,4,1781,-0.2495868537766369,-0.015348377930157996,-0.6477306444502048,-1.4710836608646827,2/7
NQ,2013-2019,B,5,1781,-0.02809281722445616,-0.0019720008766547443,-0.08322217530115232,0.4941044357102751,3/7
NQ,2013-2019,B,6,1782,0.12821869201944794,0.009940420706013389,0.4196223534488431,0.5892255892255892,4/7
NQ,2013-2019,B,7,1785,-0.35696950832740637,-0.022721683308022007,-0.9599743136380431,-4.19327731092437,2/7
NQ,2013-2019,B,8,1785,1.0827974258204307,0.05861913492090555,2.4766150926804236,9.775910364145659,6/7
NQ,2013-2019,B,9,1783,-0.4356432020582067,-0.012260521835805518,-0.5177077027711762,-2.299495232753786,3/7
NQ,2013-2019,B,10,1783,0.9659527746937515,0.026907695257732997,1.136193164149493,7.316320807627594,4/7
NQ,2013-2019,B,11,1775,-0.41467280008577456,-0.014394896623626703,-0.6064677746003464,-5.157746478873239,3/7
NQ,2013-2019,B,12,1775,0.028286594450901217,0.00116471481981362,0.04907030757393839,-1.267605633802817,4/7
NQ,2013-2019,B,13,1724,0.7454063211975607,0.03064647424271385,1.2724746776144795,6.725638051044084,4/7
NQ,2013-2019,B,14,1722,0.35363319474257354,0.01210889044598877,0.502482479623274,2.697444831591173,5/7
NQ,2013-2019,B,15,1722,1.417128424325755,0.04518341947382925,1.8749758085877473,16.117886178861788,5/7
NQ,2013-2019,B,16,1726,-0.2139848666560449,-0.010715050776674206,-0.4451584577329914,-3.5573580533024334,2/7
NQ,2013-2019,B,19,1776,-0.7097668990523986,-0.06578246448684796,-2.772245075371047,-7.14527027027027,1/7
NQ,2013-2019,B,20,1765,-0.0927443539827591,-0.006233072791418258,-0.2618632499737302,-2.331444759206799,4/7
NQ,2013-2019,B,21,1763,-0.028919776100658434,-0.0020186804745227975,-0.08476054461269777,0.3942144072603517,3/7
NQ,2013-2019,B,22,1764,-0.08090869739534863,-0.006116796858659781,-0.2569054680637108,-1.3321995464852607,3/7
NQ,2013-2019,B,23,1767,0.10114781775603413,0.010196249203111903,0.4286064635930419,0.5291454442558008,4/7
NQ,2020-2026,A,0,1607,-0.13574576116358575,-0.007574142713845743,-0.303627722753493,-4.113254511512134,1/7
NQ,2020-2026,A,1,1606,1.0378243551048547,0.05860280614035965,2.348503343273002,31.749688667496887,7/7
NQ,2020-2026,A,2,1607,0.41609028973838447,0.020023355878458052,0.8026843666604306,11.86994399502178,4/7
NQ,2020-2026,A,3,1606,-0.6433041700689855,-0.02416019231461696,-0.9682180114224885,-11.88667496886675,2/7
NQ,2020-2026,A,4,1608,0.6843147272258711,0.028246083788718936,1.1326644379665691,22.590174129353233,6/7
NQ,2020-2026,A,5,1602,0.5557262932316431,0.028031810186745935,1.1219729838627563,12.60923845193508,3/7
NQ,2020-2026,A,6,1603,1.0964788407320636,0.04902844545889395,1.9629755240393418,23.521522145976295,4/7
NQ,2020-2026,A,7,1609,-1.3331423664403483,-0.05364908973900501,-2.1519906484895595,-45.702299564947175,1/7
NQ,2020-2026,A,8,1608,2.6621552972567866,0.06477849732290425,2.597609665516536,80.28917910447761,7/7
NQ,2020-2026,A,9,1605,-0.663799710647266,-0.013446259907703999,-0.5386901320206009,-21.710280373831775,1/7
NQ,2020-2026,A,10,1606,-0.4978388368811333,-0.009425787900318143,-0.3777377885942906,-16.1612702366127,3/7
NQ,2020-2026,A,11,1606,0.4590810025687742,0.010943844616629474,0.43857380496177095,24.26214196762142,4/7
NQ,2020-2026,A,12,1606,0.6473426143680117,0.017484537390843498,0.70069160885622,10.675591531755915,4/7
NQ,2020-2026,A,13,1553,0.5487279184729765,0.013062819732475455,0.5147811804941709,13.325820991629104,3/7
NQ,2020-2026,A,14,1550,0.15508370400226934,0.004080428039643046,0.16064661256743962,7.7709677419354835,4/7
NQ,2020-2026,A,15,1550,1.69427882323413,0.03283427140734527,1.2926865579943874,25.912903225806453,4/7
NQ,2020-2026,A,16,1558,0.3593968087676684,0.013186789129910812,0.5205024620243323,8.498074454428755,5/7
NQ,2020-2026,A,19,1611,-0.09906070424483247,-0.005246981267817969,-0.21059947487210268,-7.641216635630044,2/7
NQ,2020-2026,A,20,1612,0.2318189046855586,0.010730947967103313,0.4308445540651038,-9.801488833746898,4/7
NQ,2020-2026,A,21,1612,0.14481778084642388,0.0062616270033678785,0.2514025696758905,0.5521091811414393,3/7
NQ,2020-2026,A,22,1612,0.47966721630940645,0.026059317160560296,1.0462742821698199,13.008684863523573,4/7
NQ,2020-2026,A,23,1610,1.0011686047872763,0.0715296569928358,2.8701135596898455,32.02795031055901,6/7
NQ,2020-2026,B,0,1607,-0.4688458287299739,-0.033884929505653374,-1.3583588757387273,-9.953329184816429,4/7
NQ,2020-2026,B,1,1607,0.501064085442307,0.0292727906279763,1.1734701989130292,13.329184816428127,6/7
NQ,2020-2026,B,2,1608,-0.17507496811801346,-0.008536794893639944,-0.34232441079504083,-3.9925373134328357,4/7
NQ,2020-2026,B,3,1607,0.9800800791692763,0.03755682226008053,1.505555525886832,30.49159925326696,5/7
NQ,2020-2026,B,4,1608,0.08945863945267542,0.003832650011909055,0.15368878759027496,6.169154228855722,3/7
NQ,2020-2026,B,5,1603,-0.9046415205257184,-0.04739686094417202,-1.897650987684503,-25.031191515907672,2/7
NQ,2020-2026,B,6,1604,1.2018913136693699,0.05387508511102567,2.1576954772013814,29.825436408977556,6/7
NQ,2020-2026,B,7,1609,-2.671276524013323,-0.1086635694920818,-4.358750288515004,-74.04909881914233,1/7
NQ,2020-2026,B,8,1609,1.5843443390197096,0.03855835301749929,1.5466658524588153,50.38844002486016,6/7
NQ,2020-2026,B,9,1606,0.8255716633801973,0.016796576187989135,0.6731216119336174,27.22291407222914,3/7
NQ,2020-2026,B,10,1606,0.015099931573082065,0.0002876862801476116,0.011529007486812693,-5.672478206724782,4/7
NQ,2020-2026,B,11,1606,2.0330496164019936,0.04885148660380649,1.9577198972027199,54.374221668742216,4/7
NQ,2020-2026,B,12,1606,0.3813347542074199,0.010413701803115866,0.41732836891615116,-6.027397260273973,4/7
NQ,2020-2026,B,13,1553,1.0427548961430686,0.024987443154072666,0.9847081830583384,35.98840952994205,4/7
NQ,2020-2026,B,14,1550,0.11474376230348146,0.003027044590637563,0.11917486470832515,-3.6870967741935483,3/7
NQ,2020-2026,B,15,1550,1.0625131816298803,0.022516102136972246,0.8864598275928681,1.7580645161290323,3/7
NQ,2020-2026,B,16,1558,-1.0760459731096876,-0.04022855695550256,-1.587881836339547,-31.729781771501926,3/7
NQ,2020-2026,B,19,1611,-0.3063328651132112,-0.016444166295707642,-0.6600238517767287,-13.119180633147113,3/7
NQ,2020-2026,B,20,1612,1.2002547743050107,0.056471072639050754,2.2672977432503156,26.86104218362283,7/7
NQ,2020-2026,B,21,1612,-0.05470234435216887,-0.00241361984084369,-0.09690616031303832,2.295285359801489,4/7
NQ,2020-2026,B,22,1612,-0.13389221911508728,-0.008253930811282005,-0.3313930093196563,2.6240694789081886,4/7
NQ,2020-2026,B,23,1610,0.23762163451553528,0.017187192971478894,0.6896327715563945,6.894409937888199,5/7
