label,epoch,hour,n,unknown,mean_bp,sd_bp,m,t,mean_usd,years_pos
NQ ET,2006-2012,0,1445,1108,0.3483597218015683,14.040191865004806,0.024811606931800935,0.9431674754187019,1.0968858131487889,5/7
NQ ET,2006-2012,1,1577,983,1.0020334863450777,14.82034695560234,0.06761201268410874,2.6849716901211864,3.611287254280279,7/7
NQ ET,2006-2012,2,1718,828,1.1793098224301628,19.88423526289083,0.05930878441330166,2.4582757817109218,4.7526193247962745,6/7
NQ ET,2006-2012,3,1755,798,-0.4505684122975502,27.530743350887885,-0.016366009684334187,-0.6856166633720693,-1.2877492877492878,2/7
NQ ET,2006-2012,4,1766,787,0.21159237928786645,23.2114510817252,0.009115861759046034,0.38308317672187964,1.4184597961494905,5/7
NQ ET,2006-2012,5,1766,787,0.46994480912723524,21.32774335791874,0.022034436613414622,0.92597081858634,2.044167610419026,6/7
NQ ET,2006-2012,6,1772,781,1.4440506749568576,22.38951304799533,0.06449674326821289,2.71499881565142,4.827878103837472,7/7
NQ ET,2006-2012,7,1772,781,-0.48260448057928373,24.731069713560874,-0.019514096485468865,-0.8214484354075438,-1.1343115124153498,2/7
NQ ET,2006-2012,8,1777,776,0.34567834983777207,34.97611721231341,0.00988326828102221,0.4166240135090034,1.0945413618458075,3/7
NQ ET,2006-2012,9,1781,772,-1.0125815949702988,53.920970608638,-0.018778994212097617,-0.7925091549399605,-4.452554744525547,3/7
NQ ET,2006-2012,10,1788,765,0.7006756980286978,54.6881433278364,0.012812204902045963,0.5417608687236417,2.1196868008948546,5/7
NQ ET,2006-2012,11,1750,803,0.3989251871264937,42.44969879305477,0.00939759759124044,0.39312971250218953,1.1514285714285715,4/7
NQ ET,2006-2012,12,1751,802,-0.8443623698048662,36.5113980031944,-0.023125993963063057,-0.9677061051585499,-2.4386065105653913,3/7
NQ ET,2006-2012,13,1735,818,-1.1556753532829778,41.402226446307864,-0.027913362456043415,-1.1626845312681586,-3.936599423631124,2/7
NQ ET,2006-2012,14,1732,821,1.2992372536814711,45.90177831064909,0.02830472590601248,1.1779663853099984,2.953233256351039,4/7
NQ ET,2006-2012,15,1725,828,0.5037501250789115,64.34273594806339,0.007829168555802972,0.32516979176220406,0.5594202898550724,4/7
