ins,эпоха,время,свежих выходов,"до след. отметки, б.п.",t,"до закрытия, б.п.",t 
ES,2006-2012,12:00-13:30,355,-1.53,-0.98,-7.65,-1.32
ES,2006-2012,14:00+,331,2.52,1.0,4.99,1.03
ES,2006-2012,до 11:30,859,1.37,1.48,9.85,2.73
ES,2013-2019,12:00-13:30,366,-0.77,-0.9,1.45,0.45
ES,2013-2019,14:00+,306,0.18,0.15,-0.0,-0.0
ES,2013-2019,до 11:30,880,-0.46,-0.73,2.08,0.96
ES,2020-2026,12:00-13:30,292,0.96,0.63,7.49,1.87
ES,2020-2026,14:00+,268,5.99,2.79,11.82,3.18
ES,2020-2026,до 11:30,750,1.99,1.84,5.43,1.64
