ins,эпоха,выход,средняя $,t,итог $,просадка $,худший день $,без лучших 5% $
ES,2006-2012,ближняя граница (v0),3.4,0.42,5800,11207,-2152,-80702
ES,2006-2012,противоположная (база источника),-2.2,-0.19,-3705,14185,-5627,-102007
ES,2013-2019,ближняя граница (v0),-4.9,-0.49,-8535,29952,-3210,-116987
ES,2013-2019,противоположная (база источника),-3.4,-0.27,-5907,30000,-3680,-126362
ES,2020-2026,ближняя граница (v0),51.4,2.12,79887,19517,-4110,-137755
ES,2020-2026,противоположная (база источника),56.6,1.63,87960,27800,-7585,-160545
ES,2024-04+,ближняя граница (v0),4.6,0.09,2282,19517,-4110,-74780
ES,2024-04+,противоположная (база источника),30.2,0.41,14880,21380,-6335,-78840
