tf,born_local,born_ext,born_same,born_share_of_local,span1_local,span1_ext,span1_same,span1_share_of_local,blue_local,blue_ext,blue_same,blue_share_of_local
1,8125,8124,8063,0.9924,1865,1867,1851,0.9925,85,86,85,1.0
2,4003,4003,3970,0.9918,1059,1056,1050,0.9915,38,39,38,1.0
3,2583,2583,2559,0.9907,692,691,687,0.9928,34,34,34,1.0
5,1651,1651,1633,0.9891,477,480,474,0.9937,28,28,28,1.0
10,850,850,844,0.9929,238,239,237,0.9958,13,13,13,1.0
15,574,574,557,0.9704,163,163,158,0.9693,9,9,9,1.0
30,290,290,283,0.9759,120,120,119,0.9917,11,11,11,1.0
60,139,139,133,0.9568,46,46,45,0.9783,6,6,6,1.0
