close_ts_utc_ns,open,high,low,close
1557210000000000000,7751.5,7770.0,7751.5,7767.25
1557210060000000000,7767.5,7788.75,7765.25,7781.0
1557210120000000000,7781.5,7786.25,7776.0,7776.25
1557210180000000000,7776.25,7780.5,7773.5,7775.0
1557210240000000000,7774.5,7778.75,7774.5,7776.25
1557210300000000000,7775.25,7775.75,7772.0,7775.0
1557210360000000000,7775.0,7781.75,7774.75,7780.75
1557210420000000000,7781.0,7794.75,7780.5,7794.5
1557210480000000000,7794.25,7797.5,7793.0,7795.5
1557210540000000000,7795.25,7796.0,7794.0,7795.25
1557210600000000000,7795.25,7802.0,7795.25,7799.75
