id,instrument,k,entry,horizon,kind,decisions,trades,trade_days,known_days,frequency_2020,total,gross,mean_trade,max_dd,win_rate,median_hold,optimistic_total,net_before_2020,net_2020,target
NQ_k3_stop_h15_confined,NQ,3,stop,15,breakout,52669,18515,4117,4966,0.8626692456479691,-391730.0,-114005.0,-21.15743991358358,397780.0,0.32681609505806103,11.0,-391730.0,-211140.0,-180590.0,
NQ_k3_stop_h30_confined,NQ,3,stop,30,breakout,52669,16608,4117,4966,0.8626692456479691,-355355.0,-106235.0,-21.396616088631983,360510.0,0.27595134874759153,11.0,-355355.0,-199540.0,-155815.0,
NQ_k3_close_h5_confined,NQ,3,close,5,breakout,14824,13121,3619,4966,0.7627337201805287,-240295.0,-43480.0,-18.313771816172547,241840.0,0.3710845209968752,5.0,-240295.0,-136165.0,-104130.0,
NQ_k3_close_h15_confined,NQ,3,close,15,breakout,14824,11732,3619,4966,0.7627337201805287,-222215.0,-46235.0,-18.940930787589497,234445.0,0.35876235935901807,15.0,-222215.0,-132740.0,-89475.0,
NQ_k3_close_h30_confined,NQ,3,close,30,breakout,14824,10772,3619,4966,0.7627337201805287,-201315.0,-39735.0,-18.68873004084664,209345.0,0.3207389528406981,16.0,-201315.0,-109575.0,-91740.0,
NQ_k5_stop_h5_confined,NQ,5,stop,5,breakout,3999,1655,1224,4966,0.22243713733075435,-33600.0,-8775.0,-20.30211480362538,35560.0,0.33353474320241694,5.0,-33600.0,-17745.0,-15855.0,
NQ_k5_stop_h15_confined,NQ,5,stop,15,breakout,3999,1613,1224,4966,0.22243713733075435,-27285.0,-3090.0,-16.915685058896464,39615.0,0.3124612523248605,13.0,-27285.0,-19805.0,-7480.0,
NQ_k5_stop_h30_confined,NQ,5,stop,30,breakout,3999,1584,1224,4966,0.22243713733075435,-20525.0,3235.0,-12.95770202020202,40990.0,0.2784090909090909,13.0,-20525.0,-23225.0,2700.0,
NQ_k5_close_h5_confined,NQ,5,close,5,breakout,943,870,728,4966,0.11218568665377177,-18800.0,-5750.0,-21.60919540229885,19830.0,0.3482758620689655,5.0,-18800.0,-9535.0,-9265.0,
NQ_k5_close_h15_confined,NQ,5,close,15,breakout,943,855,728,4966,0.11218568665377177,-6090.0,6735.0,-7.12280701754386,18645.0,0.34619883040935673,15.0,-6090.0,-12165.0,6075.0,
NQ_k5_close_h30_confined,NQ,5,close,30,breakout,943,847,728,4966,0.11218568665377177,-25.0,12680.0,-0.0295159386068477,20640.0,0.31759149940968123,18.0,-25.0,-13655.0,13630.0,
NQ_k3_reject_target_h5_confined,NQ,3,,5,reject,12040,10706,3243,4966,0.7066408768536429,-156575.0,4015.0,-14.624976648608257,157620.0,0.31907341677563983,1.0,-137595.0,-107645.0,-48930.0,True
NQ_k3_reject_target_h15_confined,NQ,3,,15,reject,12040,10610,3243,4966,0.7066408768536429,-160145.0,-995.0,-15.0937794533459,160685.0,0.3247879359095193,1.0,-141500.0,-109035.0,-51110.0,True
NQ_k3_reject_target_h30_confined,NQ,3,,30,reject,12040,10605,3243,4966,0.7066408768536429,-160200.0,-1125.0,-15.106082036775106,160740.0,0.32522395096652523,1.0,-141555.0,-109175.0,-51025.0,True
NQ_k3_reject_time_h5_confined,NQ,3,,5,reject,12040,10261,3249,4966,0.7066408768536429,-130425.0,23490.0,-12.710749439625767,135690.0,0.25280187116265473,3.0,-130425.0,-89920.0,-40505.0,False
NQ_k3_reject_time_h15_confined,NQ,3,,15,reject,12040,9671,3249,4966,0.7066408768536429,-103975.0,41090.0,-10.75121497259849,127360.0,0.18271119842829076,3.0,-103975.0,-92250.0,-11725.0,False
NQ_k3_reject_time_h30_confined,NQ,3,,30,reject,12040,9327,3249,4966,0.7066408768536429,-99870.0,40035.0,-10.707623029913155,119890.0,0.14216789964618848,3.0,-99870.0,-85700.0,-14170.0,False
NQ_k5_reject_target_h5_confined,NQ,5,,5,reject,769,696,586,4966,0.13217279174725982,-10455.0,-15.0,-15.02155172413793,10850.0,0.3117816091954023,2.0,-9725.0,-5770.0,-4685.0,True
NQ_k5_reject_target_h15_confined,NQ,5,,15,reject,769,693,586,4966,0.13217279174725982,-10665.0,-270.0,-15.38961038961039,10800.0,0.3189033189033189,2.0,-9935.0,-5665.0,-5000.0,True
NQ_k5_reject_target_h30_confined,NQ,5,,30,reject,769,693,586,4966,0.13217279174725982,-10920.0,-525.0,-15.757575757575758,11055.0,0.3203463203463203,2.0,-10190.0,-5640.0,-5280.0,True
NQ_k5_reject_time_h5_confined,NQ,5,,5,reject,769,681,587,4966,0.13217279174725982,-9620.0,595.0,-14.126284875183554,10545.0,0.27165932452276065,3.0,-9620.0,-4015.0,-5605.0,False
