id,instrument,k,target,horizon,decisions,trades,trade_days,known_days,frequency_2020,total,gross,mean_trade,max_dd,win_rate,median_hold,ties,optimistic_total,unknown,net_before_2020,net_2020
YM_k3_reject_target_h15,YM,3,True,15,54104,42312,4224,4895,0.9232753062540296,-690565.0,-55885.0,-16.320783702023068,690895.0,0.3204528266212895,2.0,195,-666275.0,6,-405470.0,-285095.0
YM_k3_reject_target_h30,YM,3,True,30,54104,42130,4224,4895,0.9232753062540296,-688185.0,-56235.0,-16.334797056729172,688515.0,0.31991455020175646,2.0,194,-663960.0,6,-403590.0,-284595.0
YM_k3_reject_time_h5,YM,3,False,5,54104,40620,4224,4895,0.9232753062540296,-583860.0,25440.0,-14.37370753323486,585055.0,0.26797144263909406,3.0,0,-583860.0,7,-345050.0,-238810.0
YM_k3_reject_time_h15,YM,3,False,15,54104,32896,4224,4895,0.9232753062540296,-475340.0,18100.0,-14.44978112840467,475735.0,0.2015442607003891,3.0,0,-475340.0,11,-289585.0,-185755.0
YM_k3_reject_time_h30,YM,3,False,30,54104,29367,4224,4895,0.9232753062540296,-428090.0,12415.0,-14.577246569278442,430580.0,0.15663840365035583,3.0,0,-428090.0,15,-263745.0,-164345.0
YM_k5_reject_target_h5,YM,5,True,5,19816,17549,3571,4895,0.8065764023210832,-295390.0,-32155.0,-16.832298136645964,295730.0,0.3061712918114992,2.0,45,-289875.0,2,-160180.0,-135210.0
YM_k5_reject_target_h15,YM,5,True,15,19816,16982,3571,4895,0.8065764023210832,-289265.0,-34535.0,-17.033623837003887,289820.0,0.3061476857849488,2.0,45,-283760.0,2,-159330.0,-129935.0
YM_k5_reject_target_h30,YM,5,True,30,19816,16940,3571,4895,0.8065764023210832,-290295.0,-36195.0,-17.136658795749703,290850.0,0.30489964580873674,2.0,45,-284790.0,2,-159705.0,-130590.0
YM_k5_reject_time_h5,YM,5,False,5,19816,16562,3571,4895,0.8065764023210832,-239200.0,9230.0,-14.442700156985872,239825.0,0.2682043231493781,3.0,0,-239200.0,2,-132685.0,-106515.0
YM_k5_reject_time_h15,YM,5,False,15,19816,15017,3571,4895,0.8065764023210832,-222120.0,3135.0,-14.791236598521676,223030.0,0.198774721981754,3.0,0,-222120.0,2,-122855.0,-99265.0
YM_k5_reject_time_h30,YM,5,False,30,19816,14172,3571,4895,0.8065764023210832,-211100.0,1480.0,-14.895568727067458,214990.0,0.15495342929720576,3.0,0,-211100.0,4,-109445.0,-101655.0
