id,instrument,k,wait,horizon,stop,signals,no_entry,conflicts,unknown_outcomes,excluded_days,days,trades,total,mean_day,mean_trade,win_rate,max_drawdown,median_minutes
ES_k3_w10_h120_time,ES,3,10,120,time,2691,73,0,11,113,5002,2578,-76002.5,-15.194422231107557,-29.481186966640806,0.48021722265321953,82017.5,120.0
ES_k3_w30_h15_swing,ES,3,30,15,swing,3291,125,0,1,113,5002,3121,-82017.5,-16.396941223510595,-26.279237423902597,0.3985901954501762,87002.5,15.0
ES_k3_w30_h15_time,ES,3,30,15,time,3291,125,0,1,113,5002,3121,-82180.0,-16.429428228708517,-26.33130406920859,0.4239025953220122,87217.5,15.0
ES_k3_w30_h30_swing,ES,3,30,30,swing,3291,125,0,3,113,5002,3121,-84880.0,-16.96921231507397,-27.196411406600447,0.3851329702018584,93790.0,30.0
ES_k3_w30_h30_time,ES,3,30,30,time,3291,125,0,3,113,5002,3121,-78767.5,-15.747201119552178,-25.237904517782763,0.4412047420698494,89025.0,30.0
ES_k3_w30_h60_swing,ES,3,30,60,swing,3291,125,0,3,113,5002,3121,-82467.5,-16.48690523790484,-26.423421980134574,0.35084908683114385,88612.5,42.0
ES_k3_w30_h60_time,ES,3,30,60,time,3291,125,0,7,113,5002,3121,-72330.0,-14.460215913634546,-23.17526433835309,0.4601089394424864,83857.5,60.0
ES_k3_w30_h120_swing,ES,3,30,120,swing,3291,125,0,4,113,5002,3121,-98130.0,-19.61815273890444,-31.44184556231977,0.2963793655879526,108000.0,42.0
ES_k3_w30_h120_time,ES,3,30,120,time,3291,125,0,12,113,5002,3121,-101317.5,-20.255397840863655,-32.46315283562961,0.4681191925664851,105595.0,120.0
ES_k3_w60_h15_swing,ES,3,60,15,swing,3528,135,0,1,113,5002,3348,-100015.0,-19.99500199920032,-29.873058542413382,0.38948626045400236,104790.0,15.0
ES_k3_w60_h15_time,ES,3,60,15,time,3528,135,0,1,113,5002,3348,-102290.0,-20.44982007197121,-30.55256869772999,0.4124850657108722,107902.5,15.0
ES_k3_w60_h30_swing,ES,3,60,30,swing,3528,135,0,3,113,5002,3348,-113777.5,-22.74640143942423,-33.98372162485066,0.37664277180406214,121382.5,30.0
ES_k3_w60_h30_time,ES,3,60,30,time,3528,135,0,3,113,5002,3348,-108690.0,-21.729308276689324,-32.46415770609319,0.42891278375149344,116557.5,30.0
ES_k3_w60_h60_swing,ES,3,60,60,swing,3528,135,0,3,113,5002,3348,-115365.0,-23.06377449020392,-34.4578853046595,0.35005973715651134,118527.5,46.5
ES_k3_w60_h60_time,ES,3,60,60,time,3528,135,0,6,113,5002,3348,-108490.0,-21.689324270291884,-32.40442054958184,0.4513142174432497,112952.5,60.0
ES_k3_w60_h120_swing,ES,3,60,120,swing,3528,135,0,4,113,5002,3348,-133552.5,-26.69982007197121,-39.8902329749104,0.29778972520908004,145890.0,46.5
ES_k3_w60_h120_time,ES,3,60,120,time,3528,135,0,11,113,5002,3348,-148715.0,-29.73110755697721,-44.41905615292712,0.45698924731182794,153382.5,120.0
ES_k4_w10_h15_swing,ES,4,10,15,swing,1532,18,0,0,113,5002,1493,-41515.0,-8.29968012794882,-27.806430006697923,0.4273275284661755,43890.0,15.0
ES_k4_w10_h15_time,ES,4,10,15,time,1532,18,0,0,113,5002,1493,-28352.5,-5.668232706917233,-18.99028801071668,0.4514400535833891,31935.0,15.0
ES_k4_w10_h30_swing,ES,4,10,30,swing,1532,18,0,0,113,5002,1493,-34452.5,-6.887744902039184,-23.07602143335566,0.41527126590756863,35192.5,30.0
ES_k4_w10_h30_time,ES,4,10,30,time,1532,18,0,1,113,5002,1493,-7040.0,-1.407437025189924,-4.715338245144006,0.4755525787006028,23767.5,30.0
ES_k4_w10_h60_swing,ES,4,10,60,swing,1532,18,0,2,113,5002,1493,-26565.0,-5.310875649740104,-17.79303415941058,0.38580040187541864,40197.5,47.0
