riz_id,tf_minutes,side,t0_pos,q,b,c,M,a,d,s,p0,u,k,ttc,r,cls,code,exit_bar,E,status,net_identified,net_favorable,net_adverse,q_utc
riz_095bdd7ee5445d42aea4b036b5ae76b3,207,south,6454756,6454760,29482.0,29411.75,29366.75,29366.5,70.25,45.25,0.3917748917748918,1.4946808510638299,4,340.0,0.6441281138790036,target_first,1,6454761,29413.0,taken_target_first,45.5,45.5,45.5,2026-06-09 14:20:00+00:00
riz_114caa56e8f9c03f76ac89c624ff2026,211,south,6454756,6454760,29482.0,29411.75,29366.75,29366.5,70.25,45.25,0.3917748917748918,1.4946808510638299,4,340.0,0.6441281138790036,target_first,1,6454761,29413.0,skipped_overlap,,,,2026-06-09 14:20:00+00:00
riz_20e1670efec808c87e6f63a0af81db86,206,south,6454756,6454760,29482.0,29411.75,29366.75,29366.5,70.25,45.25,0.3917748917748918,1.4946808510638299,4,340.0,0.6441281138790036,target_first,1,6454761,29413.0,skipped_overlap,,,,2026-06-09 14:20:00+00:00
riz_24dda11f42c07e217879854b0974a4ab,21,south,6454754,6454760,29548.0,29411.75,29366.75,29366.5,136.25,45.25,0.2493112947658402,2.892342683851403,6,340.0,0.3321100917431193,target_first,1,6454761,29413.0,skipped_overlap,,,,2026-06-09 14:20:00+00:00
riz_2ca7a591dced6d9290a2be9c9db617f5,203,south,6454756,6454760,29482.0,29411.75,29366.75,29366.5,70.25,45.25,0.3917748917748918,1.4946808510638299,4,340.0,0.6441281138790036,target_first,1,6454761,29413.0,skipped_overlap,,,,2026-06-09 14:20:00+00:00
riz_5f8f88d761fc3863aed1dc020fa0497b,209,south,6454756,6454760,29482.0,29411.75,29366.75,29366.5,70.25,45.25,0.3917748917748918,1.4946808510638299,4,340.0,0.6441281138790036,target_first,1,6454761,29413.0,skipped_overlap,,,,2026-06-09 14:20:00+00:00
riz_79b8ea7e1a7068a7f7c5a56371f7347b,126,south,6454754,6454760,29548.0,29411.75,29366.75,29366.5,136.25,45.25,0.2493112947658402,2.892342683851403,6,340.0,0.3321100917431193,target_first,1,6454761,29413.0,skipped_overlap,,,,2026-06-09 14:20:00+00:00
riz_970f1e815672efa8743e1454e5b23d45,28,south,6454754,6454760,29548.0,29411.75,29366.75,29366.5,136.25,45.25,0.2493112947658402,2.892342683851403,6,340.0,0.3321100917431193,target_first,1,6454761,29413.0,skipped_overlap,,,,2026-06-09 14:20:00+00:00
riz_9a4308f7fe22572006fe041f088320e5,204,south,6454756,6454760,29482.0,29411.75,29366.75,29366.5,70.25,45.25,0.3917748917748918,1.4946808510638299,4,340.0,0.6441281138790036,target_first,1,6454761,29413.0,skipped_overlap,,,,2026-06-09 14:20:00+00:00
riz_a1a6c9f28fc387d44dc37605eb701094,210,south,6454756,6454760,29482.0,29411.75,29366.75,29366.5,70.25,45.25,0.3917748917748918,1.4946808510638299,4,340.0,0.6441281138790036,target_first,1,6454761,29413.0,skipped_overlap,,,,2026-06-09 14:20:00+00:00
riz_b64f3c04e1b1784cb35b2b07d508e7bd,208,south,6454756,6454760,29482.0,29411.75,29366.75,29366.5,70.25,45.25,0.3917748917748918,1.4946808510638299,4,340.0,0.6441281138790036,target_first,1,6454761,29413.0,skipped_overlap,,,,2026-06-09 14:20:00+00:00
riz_ebf18b5a04ed8b2d30c23bfbb0add9e7,205,south,6454756,6454760,29482.0,29411.75,29366.75,29366.5,70.25,45.25,0.3917748917748918,1.4946808510638299,4,340.0,0.6441281138790036,target_first,1,6454761,29413.0,skipped_overlap,,,,2026-06-09 14:20:00+00:00
riz_fc5b939158e31a3792a26f0df607a565,1,south,6463261,6463266,30282.25,30173.25,30070.25,30070.0,109.0,103.25,0.48645465253239106,1.2893050763923115,5,112.0,0.9472477064220184,boundary_first,0,6463269,30174.5,taken_boundary_first,-108.75,-108.75,-108.75,2026-06-17 18:08:00+00:00
